id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36586,789213,CPA807  ,KORD,VMMC,1741123214,1741175092,864.6333333333333,14.223,KORD-VMMC,2025-03-04 21:20:14,2025-03-05 11:44:52
36624,8a093e,BTK6374 ,,WIHL,1741174071,1741175091,17.0,24.47,,2025-03-05 11:27:51,2025-03-05 11:44:51
36495,3c48e8,LHX2016 ,EDDM,EDDL,1741172261,1741175090,47.15,2.028,EDDM-EDDL,2025-03-05 10:57:41,2025-03-05 11:44:50
36555,4cadc2,RYR4AK  ,EGSS,LPPR,1741168508,1741175087,109.65,2.634,EGSS-LPPR,2025-03-05 09:55:08,2025-03-05 11:44:47
36558,4d02d9,JFA10N  ,EGKB,LSZS,1741169430,1741175078,94.13333333333334,28.995,EGKB-LSZS,2025-03-05 10:10:30,2025-03-05 11:44:38
36615,88084d,AIQ3245 ,VTBD,,1741172806,1741175069,37.71666666666667,1.921,,2025-03-05 11:06:46,2025-03-05 11:44:29
36592,801389,IGO7258 ,VOBL,VOSM,1741173576,1741175017,24.016666666666666,79.372,VOBL-VOSM,2025-03-05 11:19:36,2025-03-05 11:43:37
36589,8007b0,IGO847  ,VOMM,VOBL,1741173509,1741175015,25.1,12.378,VOMM-VOBL,2025-03-05 11:18:29,2025-03-05 11:43:35
36577,750236,FFM2582 ,WBKK,,1741174065,1741175004,15.65,3.627,,2025-03-05 11:27:45,2025-03-05 11:43:24
36534,48adad,LOT5YH  ,EPWA,,1741170300,1741174998,78.3,0.232,,2025-03-05 10:25:00,2025-03-05 11:43:18
36533,489788,LOT3908 ,EPKK,EPWA,1741173123,1741174988,31.083333333333332,1.614,EPKK-EPWA,2025-03-05 11:12:03,2025-03-05 11:43:08
36602,8016ba,IGO2073 ,,,1741161774,1741174971,219.95,0.0,,2025-03-05 08:02:54,2025-03-05 11:42:51
36531,48651f,PHHCX   ,EHLE,EHHO,1741169450,1741174969,91.98333333333333,2.753,EHLE-EHHO,2025-03-05 10:10:50,2025-03-05 11:42:49
36595,80149b,IGO97C  ,VOMM,VEBA,1741168785,1741174931,102.43333333333334,15.324,VOMM-VEBA,2025-03-05 09:59:45,2025-03-05 11:42:11
